"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"S-028","Walk me through a single authenticated request from browser to DB and back.","Internship;Most Probable","Technical;Fundamentals","Medium","High","20+ FastAPI endpoints","Classic request-lifecycle probe","No","","",""
"S-029","What auth scheme is used — JWT, session cookies, OAuth? Why?","Internship","Technical;Fundamentals","Medium","High","Centralized authentication","Tests understanding of trade-offs","No","","",""
"S-030","How do you handle token refresh and revocation?","Internship","Technical","Medium","Medium","Auth mechanism","Common gap for junior devs","No","","",""
"S-031","What was the hardest bug you fixed at NPT Solution?","Internship;Most Probable","Behavioral;Technical","Medium","High","Real-world work","Signal for debugging maturity","No","","",""
"S-032","What's one design decision you would reverse today?","Internship","Behavioral;Technical","Medium","Medium","Design retrospective","Tests self-critique","No","","",""
"S-033","What does your PostgreSQL schema look like for appointments?","Internship","Technical;Fundamentals","Medium","High","Appointment scheduling","Concrete schema probe","No","","",""
"S-034","How do you prevent double-booking of appointment slots under concurrency?","Internship;Most Probable","Technical;Fundamentals","Hard","High","Appointment scheduling","Classic concurrency problem","No","","",""
"S-035","What isolation level do you use, and why?","Internship","Technical;Fundamentals","Hard","Medium","PostgreSQL","Tests DB internals knowledge","No","","",""
"S-036","What indexes did you add on high-traffic tables and how did you validate them?","Internship","Technical;Fundamentals","Medium","Medium","PostgreSQL","Query-tuning discipline","No","","",""
"S-037","How do you handle database migrations? Alembic?","Internship","Technical","Easy","Medium","PostgreSQL + FastAPI","Migration hygiene","No","","",""
"S-038","Do you use an ORM (SQLAlchemy)? Have you had to drop to raw SQL?","Internship","Technical","Easy","Medium","FastAPI stack","Tests ORM literacy","No","","",""
"S-039","How do you handle background tasks like emails, reminders, notifications?","Internship","Technical","Medium","Medium","Clinic operations","Backend maturity check","No","","",""
"S-040","What observability or monitoring have you set up for your endpoints?","Internship","Technical","Medium","Medium","Production readiness","Ops-thinking check","No","","",""
"S-041","How are secrets and environment variables managed?","Internship","Technical","Easy","Medium","Config management","Security hygiene","No","","",""
"S-042","What's your testing strategy — unit, integration, e2e?","Internship;Weakness / Shortcomings","Technical","Medium","High","Missing on resume","Tests whether tests are actually written","No","","",""
"S-043","Walk me through a code review you received that changed how you write code.","Internship","Behavioral","Easy","Medium","Team learning","Learning mindset","No","","",""
"S-044","What's your Git branching strategy at NPT Solution?","Internship","Technical","Easy","Medium","Team workflow","Baseline collaboration hygiene","No","","",""
"S-045","What does the deployment pipeline look like?","Internship","Technical","Medium","Medium","20+ deployed endpoints","Tests 'deployed' claim","No","","",""
"S-046","What's your team size and reporting structure at NPT Solution?","Internship","HR;Personal","Easy","Medium","Team context","Context for scope claims","No","","",""
"S-047","How do you unblock yourself when your senior engineer is unavailable?","Internship","Behavioral","Easy","Medium","Remote intern","Ownership signal","No","","",""
"S-048","Give an example of a specification you challenged before implementing.","Internship","Behavioral","Medium","Medium","Ownership","Detects mere-executor vs thinker","No","","",""
"S-049","If you had to onboard the next intern to your RBAC system, what would you show them first?","Internship","Technical;Behavioral","Medium","Medium","Documentation Executive + RBAC","Communication + system-thinking","No","","",""
"S-050","What metric would prove your RBAC system is actually being adopted by admins?","Internship","Technical;Behavioral","Medium","Medium","Admin-facing feature","Product-thinking","No","","",""
"S-051","Walk me through the end-to-end architecture of PrepEdge AI.","Project;Most Probable","Technical","Medium","High","PrepEdge AI","Deepest probe on flagship project","No","","",""
"S-052","Why MongoDB Atlas instead of PostgreSQL for PrepEdge AI?","Project","Technical;Fundamentals","Medium","High","MongoDB Atlas choice","Tests DB selection reasoning","No","","",""
"S-053","How does resume-based question generation actually work under the hood?","Project;Most Probable","Technical","Medium","High","AI-powered features","Tests real ownership of the AI layer","No","","",""
"S-054","Which LLM did you use, and how do you handle API cost?","Project","Technical","Easy","High","AI evaluation","Cost-awareness probe","No","","",""
"S-055","How do you prevent prompt injection when a user uploads a malicious resume?","Project","Technical","Hard","Medium","Resume parsing pipeline","Security thinking on LLM apps","No","","",""
"S-056","How does automated evaluation of a candidate's answer work?","Project","Technical","Medium","High","Automated evaluation","Core product function","No","","",""
"S-057","How did you validate the accuracy of the automated evaluation?","Project","Technical","Hard","Medium","AI evaluation quality","Tests rigor","No","","",""
"S-058","How is a resume parsed? What if it's a scanned image PDF vs a text PDF?","Project","Technical","Medium","Medium","Resume parsing pipelines","Edge-case thinking","No","","",""
"S-059","How is Firebase Authentication wired into your Express backend?","Project","Technical","Medium","Medium","Firebase Authentication","Integration understanding","No","","",""
"S-060","What's the MongoDB schema for an interview session?","Project","Technical","Medium","Medium","MongoDB Atlas","Data-modeling depth","No","","",""
"S-061","How do you avoid ballooning Cloudinary costs as usage grows?","Project","Technical","Medium","Low","Cloudinary","Cost-thinking","No","","",""
"S-062","How does the PDF report get generated — client-side or server-side?","Project","Technical","Medium","Medium","jsPDF for PDF reports","Architecture choice","No","","",""
"S-063","Walk me through your role-based middleware for the interview workflow.","Project","Technical","Medium","Medium","Role-based middleware","Middleware design","No","","",""
"S-064","What analytics does the dashboard actually show, and how are the metrics computed?","Project","Technical","Medium","Medium","Analytics dashboards","Product + technical","No","","",""
"S-065","How do you version and roll back a bad prompt without redeploying?","Project","Technical","Hard","Low","Prompt engineering","LLM-ops maturity","No","","",""
"S-066","You claim 'reducing manual interview assessment effort by over 80%' — how did you compute that number?","Project;Inconsistency observed","Technical;Behavioral","Medium","High","Impact metric on PrepEdge AI","Probes metric honesty","No","","",""
"S-067","What's the current test coverage of the codebase?","Project;Weakness / Shortcomings","Technical","Easy","Medium","Testing discipline","Tests real engineering hygiene","No","","",""
"S-068","Where is PrepEdge AI deployed and what's the approximate monthly infra cost?","Project","Technical","Easy","Medium","Live Demo","Ops awareness","No","","",""
"S-069","How many active users does PrepEdge AI have today?","Project","Personal;HR","Easy","Medium","Live product","Reality check on adoption","No","","",""
"S-070","How would you monetize this if you had to sustain it commercially?","Project","Behavioral;HR","Medium","Medium","Product-thinking","Founder-flavor question","No","","",""
"S-071","30+ GitHub stars and 10+ external contributors — walk me through how that actually happened.","Project;Achievement","Behavioral","Easy","High","GitHub stars + GSSoC","Tests attribution honesty","No","","",""
"S-072","As GSSoC Project Admin, what percentage of PRs did you reject, and why?","Project;Achievement","Behavioral;Technical","Medium","Medium","GSSoC Project Admin","Tests review discipline","No","","",""
"S-073","What was the lowest-quality PR you received, and how did you handle the contributor?","Project","Behavioral","Medium","Medium","GSSoC leadership","EQ + code standards","No","","",""
"S-074","How do you design 'good first issues' for open-source newcomers?","Project","Behavioral;Technical","Medium","Low","Mentorship of 10+ contributors","Mentorship maturity","No","","",""
"S-075","What's the single most impactful contribution from an external contributor?","Project","Behavioral","Easy","Medium","10+ contributors","Attribution + memory","No","","",""
"S-076","What would you rewrite in PrepEdge AI today with 6 more months of experience?","Project","Behavioral;Technical","Medium","High","Growth signal","Self-critique","No","","",""
"S-077","How would you scale PrepEdge AI to 10,000 concurrent mock interviews?","Project","Technical;Fundamentals","Hard","Medium","Scale-thinking","Systems-thinking under load","No","","",""
"S-078","What's the single biggest technical debt in PrepEdge AI right now?","Project","Technical;Behavioral","Medium","Medium","Real-world project","Self-awareness on debt","No","","",""
"S-079","If OpenAI (or your LLM provider) shuts off tomorrow, what's your fallback plan?","Project","Technical","Medium","Low","Third-party dependency","Resilience thinking","No","","",""
"S-080","You use Chart.js — why not Recharts or D3? What trade-offs?","Project","Technical","Easy","Low","Chart.js","Library-choice reasoning","No","","",""
"S-081","Walk me through Lumen's architecture end-to-end.","Project;Achievement","Technical","Medium","High","Lumen","Hackathon-project probe","No","","",""
"S-082","What was your specific ownership on the team vs teammates?","Project;Achievement","Behavioral","Easy","High","Hackathon team","Detects credit-inflation","No","","",""
"S-083","Which OCR engine did you use, and what was its accuracy on real invoices?","Project","Technical","Medium","Medium","OCR extraction","Real-world OCR literacy","No","","",""
"S-084","How does anomaly detection identify a suspicious invoice — model, heuristics, or thresholds?","Project","Technical","Hard","Medium","Anomaly detection","ML understanding depth","No","","",""
"S-085","How does natural-language invoice querying actually work?","Project","Technical","Hard","Medium","NL invoice querying","LLM/retrieval understanding","No","","",""
"S-086","Why a Flask backend when the frontend is Next.js? Wouldn't a Node backend be more consistent?","Project;Inconsistency observed","Technical","Medium","Medium","Flask + Next.js stack","Tests stack-choice reasoning","No","","",""
"S-087","How do you handle batch processing of 100+ invoices concurrently?","Project","Technical","Medium","Medium","Batch invoice processing","Concurrency thinking","No","","",""
"S-088","What did the 24-hour hackathon timeline force you to cut?","Project;Achievement","Behavioral","Easy","Medium","24-hour hackathon","Prioritization signal","No","","",""
"S-089","Runner-up — what did the winning team do better than you?","Project;Achievement","Behavioral","Medium","Medium","Runner-up","Detects gracious self-critique","No","","",""
"S-090","You built 10+ reusable components — name three and walk through their APIs.","Project","Technical","Medium","Medium","10+ reusable components","Component-design taste","No","","",""
"S-091","Post-hackathon, is Lumen still maintained? If not, why not?","Project","Behavioral","Easy","Medium","Hackathon project","Follow-through signal","No","","",""
"S-092","How did you split work with teammates in 24 hours?","Project;Achievement","Behavioral","Easy","Medium","Hackathon team","Teamwork under pressure","No","","",""
"S-093","Why did you build Snippad — what user pain point were you solving?","Project","Behavioral;HR","Easy","Medium","Snippad","Motivation check","No","","",""
"S-094","Walk me through the Judge0 integration — submission, polling, and result rendering.","Project","Technical","Medium","Medium","Judge0 API","Integration depth","No","","",""
"S-095","How do you handle Judge0 rate limits and outages?","Project","Technical","Medium","Low","Third-party dependency","Resilience","No","","",""
"S-096","You claim 'zero backend dependency' but you use Axios and Judge0. Explain the contradiction.","Project;Inconsistency observed","Technical;Behavioral","Medium","High","Snippad claim","Directly challenges resume claim","No","","",""
"S-097","How is code and state persisted in local storage — what's the schema?","Project","Technical","Easy","Low","Local storage persistence","Detail check","No","","",""
"S-098","What's the largest input Snippad handles gracefully?","Project","Technical","Easy","Low","Frontend limits","Edge-case awareness","No","","",""
"S-099","How would you add real-time collaboration to Snippad?","Project","Technical;Fundamentals","Hard","Low","Product-thinking","Real-time systems thinking","No","","",""
"S-100","What would it take to make Snippad handle 1,000 concurrent users?","Project","Technical","Medium","Low","Scale-thinking","Scaling reasoning","No","","",""
"S-101","What's the difference between Snippad and LeetCode's IDE from a technical standpoint?","Project","Technical","Medium","Low","IDE comparison","Comparative analysis","No","","",""
"S-102","If you had to replace Judge0 with a self-hosted execution engine, how would you approach it?","Project","Technical;Fundamentals","Hard","Low","Self-hosting","Systems programming depth","No","","",""
"S-103","LeetCode Knight, Peak 2041 — walk me through your climb.","Achievement","Behavioral;Personal","Easy","High","LeetCode Knight (Peak 2041)","Detects real vs padded profile","No","","",""
"S-104","What is your current LeetCode rating, and why the delta from peak?","Achievement;Inconsistency observed","Personal","Easy","High","Peak 2041 claim","Tests current sharpness","No","","",""
"S-105","Weekly Contest 493, Rank 164 out of 41,485 — walk me through the hardest problem.","Achievement","Technical;Fundamentals","Hard","Medium","Rank 164/41,485","Concrete performance validation","No","","",""
"S-106","What is your usual contest strategy — order of solving, when to skip?","Achievement","Behavioral;Technical","Medium","Medium","Contest performance","Meta-cognition","No","","",""
"S-107","You claim 1000+ problems across LeetCode, Codeforces, CodeChef, GFG — what's your Codeforces max rating?","Achievement;Inconsistency observed","Personal","Easy","High","1000+ problems claim","Cross-platform validation","No","","",""
"S-108","Flipkart GRiD 7.0 — what round did you exit at, and why?","Achievement","Behavioral","Easy","High","GRiD 7.0 semifinalist","Tests honest self-reporting","No","","",""
"S-109","What did you build at CodeUtsava 9.0 as runner-up?","Achievement","Technical;Behavioral","Medium","Medium","CodeUtsava 9.0","Hackathon substance check","No","","",""
"S-110","Hack-a-Sol runner-up — what did the winners have that you didn't?","Achievement","Behavioral","Medium","Medium","Hack-a-Sol runner-up","Self-critique","No","","",""
"S-111","How do you approach a hackathon in the first hour?","Achievement","Behavioral","Easy","Medium","Multiple hackathons","Process signal","No","","",""
"S-112","What's the most valuable thing hackathons have taught you about shipping?","Achievement","Behavioral","Easy","Medium","Multiple hackathons","Learning transfer","No","","",""
"S-113","Do you consider competitive programming a distraction from building real software, or complementary?","Achievement","Behavioral;Personal","Medium","Medium","CP + project balance","Nuance signal","No","","",""
"S-114","When was the last time competitive programming skill directly helped you on a real production problem?","Achievement","Behavioral;Technical","Medium","Medium","CP vs SDE work","Bridges CP with SDE","No","","",""
"S-115","Time complexity of HashMap operations — average and worst case?","CS Core Fundamentals","Fundamentals;Technical","Easy","High","DSA coursework","Baseline DSA","No","","",""
"S-116","Implement an LRU cache in your head — what data structures?","CS Core Fundamentals","Fundamentals;Technical","Medium","High","DSA coursework","Classic DSA","No","","",""
"S-117","When would you use BFS vs DFS?","CS Core Fundamentals","Fundamentals","Easy","High","DSA coursework","Baseline graphs","No","","",""
"S-118","Explain dynamic programming with an example you've solved.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","1000+ problems","DP understanding","No","","",""
"S-119","Explain how a Trie works and one real-world use case.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","DS breadth","No","","",""
"S-120","ACID properties — explain each briefly with a concrete failure it prevents.","CS Core Fundamentals","Fundamentals","Easy","High","DBMS coursework","Baseline DB","No","","",""
"S-121","Difference between clustered and non-clustered index.","CS Core Fundamentals","Fundamentals","Easy","High","DBMS coursework","Indexing basics","No","","",""
"S-122","How does a B-tree index actually speed up lookups?","CS Core Fundamentals","Fundamentals","Medium","Medium","DBMS coursework","DB internals","No","","",""
"S-123","Explain database normalization up to 3NF.","CS Core Fundamentals","Fundamentals","Easy","High","DBMS coursework","Standard DBMS","No","","",""
"S-124","When would you deliberately denormalize?","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","DBMS coursework","Applied thinking","No","","",""
"S-125","SQL vs NoSQL — when do you pick which?","CS Core Fundamentals","Fundamentals","Medium","High","MySQL/PostgreSQL/MongoDB","Judgment probe","No","","",""
"S-126","You use MongoDB and PostgreSQL — walk me through when you chose which and why.","CS Core Fundamentals;Project","Fundamentals;Technical","Medium","High","MongoDB + PostgreSQL usage","Applied DB judgment","No","","",""
"S-127","Explain the CAP theorem and where PostgreSQL sits.","CS Core Fundamentals","Fundamentals","Medium","Medium","DBMS coursework","Systems fundamentals","No","","",""
"S-128","Process vs thread — differences and when to use which.","CS Core Fundamentals","Fundamentals","Easy","High","OS coursework","OS baseline","No","","",""
"S-129","Deadlock — four conditions and how you break one.","CS Core Fundamentals","Fundamentals","Medium","Medium","OS coursework","OS depth","No","","",""
"S-130","TCP vs UDP — pick one for a video call app and defend the choice.","CS Core Fundamentals","Fundamentals","Easy","High","CN coursework","Applied networking","No","","",""
"S-131","What happens step-by-step when I type google.com and hit Enter?","CS Core Fundamentals;Most Probable","Fundamentals","Hard","High","CN coursework","Classic sweeping question","No","","",""
"S-132","Explain the TLS handshake at a high level.","CS Core Fundamentals","Fundamentals","Medium","Medium","CN coursework","Security + networking","No","","",""
"S-133","What is CORS and why does it exist?","CS Core Fundamentals","Fundamentals;Technical","Easy","High","Full-stack projects","Baseline web","No","","",""
"S-134","REST vs GraphQL — trade-offs, and which would you pick for a new startup?","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","REST APIs","API-design judgment","No","","",""
"S-135","Explain the four pillars of OOP with examples from your projects.","CS Core Fundamentals","Fundamentals","Easy","High","OOPs coursework","Baseline OOP","No","","",""
"S-136","SOLID principles — pick one and show me a violation-and-fix from your code.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Applied OOP","No","","",""
"S-137","Which design patterns have you actually implemented in your projects?","CS Core Fundamentals;Inconsistency observed","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Real-world usage","No","","",""
"S-138","How does JWT work, and what's its main weakness?","CS Core Fundamentals","Fundamentals;Technical","Medium","High","Auth in projects","Common backend probe","No","","",""
"S-139","Idempotency — why does it matter for a POST endpoint like /appointments?","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Appointment scheduling","Applied API design","No","","",""
"S-140","Your resume says 'backend-focused' but PrepEdge AI is a JavaScript/Express project — clarify the mismatch.","Weakness / Shortcomings;Inconsistency observed","Behavioral;Technical","Medium","High","Backend-focused claim vs JS stack","Directly challenges positioning","No","","",""
"S-141","You list Docker but no Kubernetes — is orchestration a gap for a backend engineer?","Weakness / Shortcomings","Technical","Easy","Medium","Skills gap","Real-world gap probe","No","","",""
"S-142","No cloud provider (AWS/GCP/Azure) experience is on your resume — is that accurate or an omission?","Weakness / Shortcomings","Technical;HR","Easy","High","Cloud missing","Common gap for students","No","","",""
"S-143","Your CPI is 8.14/10 — below the top decile at NIT Raipur. What accounts for that?","Weakness / Shortcomings;Education","HR;Personal","Medium","Medium","CPI 8.14","Standard academic probe","No","","",""
"S-144","Only one internship in a 4th-year CSE profile — was that a deliberate choice or a missed opportunity?","Weakness / Shortcomings","HR;Behavioral","Medium","Medium","Internship count","Career-decision probe","No","","",""
"S-145","No message-queue (Kafka/RabbitMQ/Redis Streams) experience on a 'backend-focused' resume — is that a real gap?","Weakness / Shortcomings","Technical","Medium","Medium","Backend gap","Domain-specific gap","No","","",""
"S-146","You claim 'architected' as an intern within 2 months — isn't that language overstated?","Weakness / Shortcomings;Inconsistency observed","Behavioral;Technical","Medium","High","Architected RBAC","Directly challenges verb choice","No","","",""
"S-147","What's the single biggest technical weakness you're actively working on?","Weakness / Shortcomings","Behavioral;Personal","Easy","High","Self-awareness","Growth-mindset probe","No","","",""
"S-148","What feedback have you received repeatedly that you struggle to act on?","Weakness / Shortcomings","Behavioral;Personal","Medium","Medium","Self-awareness","Deeper vulnerability probe","No","","",""
"S-149","When was the last time you were the least competent person in a room, and what did you do?","Weakness / Shortcomings","Behavioral;Personal","Medium","Medium","Learning under pressure","Humility signal","No","","",""
"S-150","Have you ever shipped a bug to production? Walk me through it and the post-mortem.","Weakness / Shortcomings","Behavioral;Technical","Medium","High","Production experience","Bug ownership","No","","",""
"S-151","What's a topic in CS fundamentals you know is a weakness for you today?","Weakness / Shortcomings","Fundamentals;Personal","Easy","Medium","Self-awareness","Honest gap identification","No","","",""
"S-152","You have no testing framework on your resume (pytest/jest) — do you write tests?","Weakness / Shortcomings","Technical","Easy","Medium","Testing missing","Engineering hygiene","No","","",""
"S-153","You list C++ but no C++ project — is your C++ real or academic?","Weakness / Shortcomings;Inconsistency observed","Technical","Easy","Medium","C++ in Languages","Skill-depth probe","No","","",""
"S-154","What's a 'no' you should have said in the last 6 months?","Weakness / Shortcomings","Behavioral;Personal","Medium","Low","Self-awareness","Overcommit signal","No","","",""
"S-155","Your GitHub handle is 'coderuzumaki' — any professional reason for the alias, and does it appear on any published work?","Inconsistency observed","HR;Personal","Easy","Low","github.com/coderuzumaki","Professional-branding probe","No","","",""
"S-156","You started your internship in May 2026 — under 3 months ago — yet claim to have architected a whole RBAC system. Which parts did you personally design vs implement to spec?","Inconsistency observed;Internship","Behavioral;Technical","Hard","High","May 2026 - Present","Directly challenges scope claim","No","","",""
"S-157","You list PostgreSQL as a skill but the only PostgreSQL usage on your resume is the current internship. Is that proficiency real?","Inconsistency observed;Weakness / Shortcomings","Technical","Medium","Medium","PostgreSQL in skills","Skill-depth probe","No","","",""
"S-158","You claim '80% reduction in manual assessment effort' for PrepEdge AI — what was the numerator and denominator?","Inconsistency observed;Project","Behavioral;Technical","Medium","High","80% metric claim","Metric honesty","No","","",""
"S-159","You claim 'invoice handling from minutes to seconds' for Lumen — how was the baseline measured?","Inconsistency observed;Project","Behavioral;Technical","Medium","Medium","Lumen metric claim","Metric honesty","No","","",""
"S-160","Snippad's description says 'zero backend dependency' but it lists Axios — Axios exists to talk to backends. Explain the contradiction.","Inconsistency observed;Project","Technical;Behavioral","Medium","High","Snippad claim","Sharpest contradiction probe","No","","",""
"S-161","You are Documentation Executive in a technical committee — how does that reconcile with your coding-heavy narrative?","Inconsistency observed","HR;Behavioral","Easy","Medium","Technocracy PoR","Role-fit probe","No","","",""
"S-162","PrepEdge AI has 30+ GitHub stars — how many are from GSSoC participants who were required to star it vs organic discovery?","Inconsistency observed;Achievement","Behavioral","Medium","Medium","30+ stars claim","Attribution honesty","No","","",""
"S-163","You list 10+ external contributors — how many made merged, non-trivial commits (>5 lines of substantive code)?","Inconsistency observed;Achievement","Behavioral;Technical","Medium","Medium","10+ contributors claim","Substance probe","No","","",""
"S-164","You list Design Patterns in coursework — name three patterns you've implemented outside academic assignments.","Inconsistency observed;CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Applied depth","No","","",""
"S-165","You list Java but no Java project — is Java a passive skill or an active one?","Inconsistency observed;Weakness / Shortcomings","Technical","Easy","Medium","Java in Languages","Skill honesty","No","","",""
"S-166","You mention Docker but no Docker artifact appears in any project description — where was Docker actually used?","Inconsistency observed;Weakness / Shortcomings","Technical","Easy","Medium","Docker in Tools","Skill honesty","No","","",""
"S-167","You use 'Engineered,' 'Architected,' and 'Designed and deployed' repeatedly — pick the strongest verb and defend it with a concrete measurable outcome.","Inconsistency observed","Behavioral","Medium","Medium","Resume verbs","Language-honesty probe","No","","",""
"S-168","Your peak LeetCode rating is 2041 — what is it today?","Inconsistency observed;Achievement","Personal","Easy","High","Peak 2041 vs current","Current-sharpness probe","No","","",""
"S-169","You are 4th-year but graduation is 2027 — clarify current academic year and eligibility for FTE start dates in mid-2027.","Inconsistency observed;Education","HR;Personal","Easy","High","2023-2027","Logistical clarity","No","","",""
"S-170","Tell me about a time you took ownership of something outside your assigned scope.","Most Probable","Behavioral","Medium","High","Ownership as core strength","STAR staple","No","","",""
"S-171","Tell me about the last time you disagreed with a senior and how it resolved.","Most Probable","Behavioral","Medium","High","Team dynamics","Conflict-resolution signal","No","","",""
"S-172","Tell me about a time you shipped fast and broke something.","Other","Behavioral","Medium","Medium","Startup fit","Post-mortem maturity","No","","",""
"S-173","Tell me about a time you had to learn a technology on the job in under a week.","Most Probable","Behavioral","Medium","High","Learning agility","Adaptability signal","No","","",""
"S-174","Describe the messiest codebase you've worked in and what you did about it.","Other","Behavioral;Technical","Medium","Medium","Real work","Code-quality thinking","No","","",""
"S-175","Tell me about a time you gave a peer constructive but hard-to-hear feedback.","Other","Behavioral","Medium","Medium","GSSoC leadership","Feedback maturity","No","","",""
"S-176","Describe a moment you wanted to quit a project — what kept you going?","Other","Behavioral;Personal","Medium","Low","Grit signal","Resilience","No","","",""
"S-177","Tell me about a time you had to make a decision without your manager available.","Other","Behavioral","Medium","Medium","Remote intern","Autonomy signal","No","","",""
"S-178","Describe a time you influenced a team decision without formal authority.","Other","Behavioral","Medium","Medium","GSSoC lead","Influence signal","No","","",""
"S-179","Tell me about a time you missed a deadline — what happened and what did you change?","Other","Behavioral","Medium","High","Real work","Accountability signal","No","","",""
"S-180","Describe a situation where you wore a non-engineering hat (product, design, ops) to unblock the team.","Other","Behavioral","Medium","High","Startup fit","T-shaped signal","No","","",""
"S-181","Tell me about a time you disagreed with a customer or user's feature request.","Other","Behavioral","Medium","Low","Product intuition","Judgment signal","No","","",""
"S-182","Give me an example of a time you re-scoped a project mid-flight because the plan was wrong.","Other","Behavioral","Medium","Medium","Real work","Adaptability","No","","",""
"S-183","Tell me about a time you had to say 'we should build this instead' to a senior.","Other","Behavioral","Medium","Medium","Ownership","Backbone signal","No","","",""
"S-184","Describe the feedback loop you use on your own work when no one is reviewing it.","Other","Behavioral;Personal","Medium","Low","Self-review discipline","Meta-cognition","No","","",""
