"ID","Question","Category","Domain","Difficulty","Probability","Anchor","Why It's Asked","Practiced","Practice Date","Self-Rating (1-5)","Notes"
"F-027","What's the hardest bug you fixed, and what was the root cause?","Internship;Most Probable","Behavioral;Technical","Medium","High","Real work","Debugging maturity","No","","",""
"F-028","Which design decision would you reverse today, and what data would justify the reversal?","Internship","Behavioral;Technical","Medium","Medium","Design retrospective","Data-driven self-critique","No","","",""
"F-029","How do you prevent double-booking of appointment slots under high concurrency?","Internship;Most Probable","Technical;Fundamentals","Hard","High","Appointment scheduling","Classic concurrency","No","","",""
"F-030","What isolation level did you choose, and what anomalies did it prevent?","Internship","Technical;Fundamentals","Hard","High","PostgreSQL","DB-internals depth","No","","",""
"F-031","Which indexes did you add, and how did you validate they were used (EXPLAIN plans)?","Internship","Technical;Fundamentals","Hard","Medium","PostgreSQL","Query-tuning rigor","No","","",""
"F-032","How do you handle DB migrations without downtime?","Internship","Technical;Fundamentals","Hard","Medium","Production deployment","Zero-downtime discipline","No","","",""
"F-033","How would you make this backend zero-downtime for deploys?","Internship","Technical;Fundamentals","Hard","Medium","Ops maturity","Deployment sophistication","No","","",""
"F-034","How do you handle background jobs today, and how would you evolve to Kafka?","Internship","Technical;Fundamentals","Hard","Medium","Background tasks","Distributed-systems bridge","No","","",""
"F-035","What observability stack do you use? SLIs, SLOs, error budgets?","Internship","Technical;Fundamentals","Hard","Medium","Production readiness","SRE literacy","No","","",""
"F-036","How do you handle secrets — how would you evolve to Vault or a KMS?","Internship","Technical","Medium","Medium","Secrets management","Security maturity","No","","",""
"F-037","What's your testing pyramid — how much unit vs integration vs e2e?","Internship;Weakness / Shortcomings","Technical","Medium","High","Testing discipline","Engineering hygiene","No","","",""
"F-038","Walk me through a code review that changed how you write backend code.","Internship","Behavioral","Easy","Medium","Team learning","Learning signal","No","","",""
"F-039","Describe the Git flow at NPT Solution — how would it change at 500 engineers?","Internship","Technical;Behavioral","Medium","Medium","Team workflow","Scale-of-collaboration thinking","No","","",""
"F-040","How do you incrementally roll out a change (feature flags, canaries, dark launches)?","Internship","Technical;Fundamentals","Hard","Medium","Deployment practices","Progressive-delivery discipline","No","","",""
"F-041","If you had to onboard the next intern, what one runbook would you write first?","Internship","Technical;Behavioral","Medium","Medium","Documentation + intern experience","Communication + system-thinking","No","","",""
"F-042","What metric proves your RBAC system is actually being used correctly by admins?","Internship","Technical;Behavioral","Medium","Medium","Admin-facing feature","Product-thinking","No","","",""
"F-043","Walk me through PrepEdge AI's architecture end-to-end.","Project;Most Probable","Technical","Medium","High","PrepEdge AI","Flagship-project probe","No","","",""
"F-044","Why MongoDB Atlas? What are its consistency guarantees?","Project","Technical;Fundamentals","Hard","High","MongoDB Atlas","DB-choice reasoning","No","","",""
"F-045","How does resume-based question generation work under the hood?","Project;Most Probable","Technical","Medium","High","Resume-based generation","Core AI-layer probe","No","","",""
"F-046","Which LLM did you use, and how do you handle cost, latency, and rate limits?","Project","Technical","Medium","High","LLM usage","LLM-ops maturity","No","","",""
"F-047","How do you prevent prompt injection?","Project","Technical","Hard","Medium","LLM security","LLM-app security","No","","",""
"F-048","How does automated evaluation work, and how did you validate its accuracy?","Project","Technical","Hard","High","Automated evaluation","Rigor probe","No","","",""
"F-049","How is a scanned-image PDF resume handled vs a text PDF?","Project","Technical","Medium","Medium","Resume parsing","Edge-case thinking","No","","",""
"F-050","Firebase Auth on an Express backend — walk me through token verification and JWKS caching.","Project","Technical;Fundamentals","Hard","Medium","Firebase Authentication","Auth depth","No","","",""
"F-051","What's the MongoDB schema for an interview session? Show me the indexes.","Project","Technical;Fundamentals","Medium","Medium","MongoDB schema","Data modeling depth","No","","",""
"F-052","How do you avoid Cloudinary cost explosion at scale?","Project","Technical","Medium","Low","Cloudinary","Cost thinking","No","","",""
"F-053","Server-side or client-side PDF generation with jsPDF — trade-offs?","Project","Technical","Medium","Medium","jsPDF","Architecture choice","No","","",""
"F-054","Walk me through your role-based middleware — where does it sit and what does it check?","Project","Technical","Medium","Medium","Role-based middleware","Middleware design","No","","",""
"F-055","How do you version and roll back a bad prompt without a redeploy?","Project","Technical","Hard","Low","Prompt engineering","LLM-ops maturity","No","","",""
"F-056","You claim '80% reduction in manual assessment effort' — show me the math.","Project;Inconsistency observed","Technical;Behavioral","Medium","High","Impact metric","Metric honesty","No","","",""
"F-057","What's the test coverage, and what's the CI pipeline?","Project;Weakness / Shortcomings","Technical","Easy","Medium","Engineering hygiene","Real engineering probe","No","","",""
"F-058","How would you scale PrepEdge AI to 10,000 concurrent mock interviews?","Project","Technical;Fundamentals","Hard","High","Scale-thinking","Load reasoning","No","","",""
"F-059","Where would the first bottleneck appear at 10K concurrency?","Project","Technical;Fundamentals","Hard","Medium","Bottleneck analysis","Systems-thinking","No","","",""
"F-060","What's the biggest technical debt in PrepEdge AI right now?","Project","Technical;Behavioral","Medium","Medium","Self-aware assessment","Ownership signal","No","","",""
"F-061","If OpenAI raises prices 10x tomorrow, what's your mitigation?","Project","Technical","Medium","Low","Third-party risk","Resilience","No","","",""
"F-062","30+ stars and 10+ contributors via GSSoC — how many of those made non-trivial commits?","Project;Achievement;Inconsistency observed","Behavioral","Medium","Medium","GSSoC claim","Attribution honesty","No","","",""
"F-063","How do you design 'good first issues' for open-source newcomers?","Project","Behavioral;Technical","Medium","Low","Mentorship","Mentorship maturity","No","","",""
"F-064","What's the highest-quality external contribution you accepted?","Project","Behavioral","Easy","Medium","GSSoC","Attribution + memory","No","","",""
"F-065","What's a PR you rejected, and how did you handle the contributor?","Project","Behavioral","Medium","Medium","GSSoC leadership","EQ + standards","No","","",""
"F-066","If you were tech lead of PrepEdge AI at 1M MAU, what's the first architectural change?","Project","Technical;Fundamentals","Hard","Medium","Scale-thinking","Lead-thinking","No","","",""
"F-067","How would you monetize this while keeping the open-source spirit?","Project","Behavioral;HR","Medium","Low","Product thinking","Business-instinct","No","","",""
"F-068","Explain your analytics dashboard — how are the metrics computed and stored?","Project","Technical","Medium","Medium","Analytics dashboards","Data-pipeline depth","No","","",""
"F-069","What's the recovery plan if MongoDB Atlas has a 4-hour outage?","Project","Technical;Fundamentals","Hard","Low","DR planning","DR discipline","No","","",""
"F-070","If a user reports 'my evaluation was wrong,' how do you triage?","Project","Technical;Behavioral","Medium","Medium","Support process","Debugging + empathy","No","","",""
"F-071","Walk me through Lumen's architecture.","Project;Achievement","Technical","Medium","High","Lumen","Hackathon-project probe","No","","",""
"F-072","Which OCR engine did you use, and what was its accuracy?","Project","Technical","Medium","Medium","OCR extraction","OCR literacy","No","","",""
"F-073","How does anomaly detection actually work?","Project","Technical","Hard","Medium","Anomaly detection","ML depth","No","","",""
"F-074","How does natural-language invoice querying work end-to-end?","Project","Technical","Hard","Medium","NL querying","LLM/retrieval depth","No","","",""
"F-075","Why Flask backend with Next.js frontend — why not a unified Node stack?","Project;Inconsistency observed","Technical","Medium","Medium","Stack choice","Stack reasoning","No","","",""
"F-076","How do you handle batch processing of many invoices concurrently?","Project","Technical;Fundamentals","Medium","Medium","Batch processing","Concurrency thinking","No","","",""
"F-077","In 24 hours, what did you deliberately cut, and why?","Project;Achievement","Behavioral","Easy","Medium","24-hour hackathon","Prioritization signal","No","","",""
"F-078","Runner-up — what did the winning team have that you didn't?","Project;Achievement","Behavioral","Medium","Medium","Hackathon runner-up","Gracious self-critique","No","","",""
"F-079","Post-hackathon, why isn't Lumen actively maintained?","Project","Behavioral","Easy","Medium","Follow-through","Attention-span probe","No","","",""
"F-080","How would you evolve Lumen into a production SaaS?","Project","Technical;Fundamentals","Hard","Medium","Product-thinking","Scale-thinking","No","","",""
"F-081","Walk me through Snippad's design.","Project","Technical","Medium","Medium","Snippad","Third-project probe","No","","",""
"F-082","Judge0 integration — submission, polling, rendering — walk me through it.","Project","Technical","Medium","Medium","Judge0 API","Integration depth","No","","",""
"F-083","How do you handle Judge0 outages and rate limits?","Project","Technical","Medium","Low","Third-party dependency","Resilience","No","","",""
"F-084","'Zero backend dependency' but you use Axios and Judge0 — reconcile.","Project;Inconsistency observed","Technical;Behavioral","Medium","High","Snippad claim","Contradiction probe","No","","",""
"F-085","How would you build your own self-hosted code execution sandbox?","Project","Technical;Fundamentals","Hard","Medium","Sandboxing","Systems programming","No","","",""
"F-086","How would you make Snippad handle 10K concurrent editors with real-time collaboration?","Project","Technical;Fundamentals","Hard","Medium","Scale-thinking","Real-time systems","No","","",""
"F-087","What's the difference between Snippad and LeetCode's IDE at an architectural level?","Project","Technical","Medium","Low","Comparative analysis","Systems comparison","No","","",""
"F-088","LeetCode Knight, Peak 2041 — what's your current rating and why the delta?","Achievement;Inconsistency observed","Personal","Easy","High","Peak 2041 claim","Sharpness probe","No","","",""
"F-089","Weekly Contest 493 Rank 164/41,485 — walk me through the hardest problem.","Achievement","Technical;Fundamentals","Hard","High","Rank 164 claim","Concrete validation","No","","",""
"F-090","What's your usual contest strategy?","Achievement","Behavioral;Technical","Medium","Medium","Contest performance","Meta-cognition","No","","",""
"F-091","You claim 1000+ problems across platforms — what's your Codeforces max rating?","Achievement;Inconsistency observed","Personal","Easy","High","1000+ problems","Cross-platform validation","No","","",""
"F-092","Which problem category is your strongest? Weakest?","Achievement","Technical;Personal","Easy","Medium","Self-awareness","Honest gap probe","No","","",""
"F-093","Flipkart GRiD 7.0 semifinalist — what round did you exit at, and why?","Achievement","Behavioral","Easy","High","GRiD 7.0","Honest self-reporting","No","","",""
"F-094","What did you build at CodeUtsava 9.0 as runner-up?","Achievement","Technical;Behavioral","Medium","Medium","CodeUtsava 9.0","Substance check","No","","",""
"F-095","What did Hack-a-Sol winners have that you didn't?","Achievement","Behavioral","Medium","Medium","Hack-a-Sol runner-up","Self-critique","No","","",""
"F-096","Do you view CP as complementary to SDE work or a distraction? Defend either.","Achievement","Behavioral;Personal","Medium","Medium","CP + project balance","Nuance signal","No","","",""
"F-097","The last time competitive programming skill directly helped you in production code?","Achievement","Behavioral;Technical","Medium","Medium","CP vs SDE","CP-SDE bridge","No","","",""
"F-098","Time complexity of HashMap operations — average and worst.","CS Core Fundamentals;Most Probable","Fundamentals;Technical","Easy","High","DSA coursework","Baseline DSA","No","","",""
"F-099","Implement LRU cache — walk through data structures and code.","CS Core Fundamentals;Most Probable","Fundamentals;Technical","Medium","High","DSA + Cache concepts","Classic DSA","No","","",""
"F-100","BFS vs DFS — trade-offs and when each shines.","CS Core Fundamentals","Fundamentals","Easy","High","DSA coursework","Baseline graphs","No","","",""
"F-101","Dijkstra vs Bellman-Ford — when each? Complexity?","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","Graph algorithms","No","","",""
"F-102","Explain Union-Find with path compression and union by rank.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA depth","DSA breadth","No","","",""
"F-103","Explain Segment Tree with lazy propagation at a high level.","CS Core Fundamentals","Fundamentals","Hard","Medium","1000+ problems","Advanced DS","No","","",""
"F-104","Kadane's algorithm — code it and walk me through.","CS Core Fundamentals","Fundamentals;Technical","Easy","Medium","DSA coursework","DP classic","No","","",""
"F-105","Explain Trie and one real-world application.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","DS breadth","No","","",""
"F-106","Explain how Java's HashMap resolves collisions.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Java in Languages","Language internals","No","","",""
"F-107","Explain the KMP string matching algorithm.","CS Core Fundamentals","Fundamentals","Hard","Low","1000+ problems","String algorithms","No","","",""
"F-108","What is DP? Walk me through Longest Common Subsequence.","CS Core Fundamentals;Most Probable","Fundamentals;Technical","Medium","High","DSA coursework","DP staple","No","","",""
"F-109","Explain binary search on the answer with an example.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","1000+ problems","Applied binary search","No","","",""
"F-110","How does merge sort's recursion tree lead to O(n log n)?","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","Analysis reasoning","No","","",""
"F-111","Explain quickselect and its expected complexity.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","Randomized algorithms","No","","",""
"F-112","How does a min-heap-based priority queue work internally?","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","Heap internals","No","","",""
"F-113","Explain topological sort and one use case.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","Graph algorithms","No","","",""
"F-114","Sliding window — walk me through 'longest substring without repeating characters.'","CS Core Fundamentals;Most Probable","Fundamentals;Technical","Medium","High","1000+ problems","Pattern staple","No","","",""
"F-115","Two pointers — give an example where two pointers beat brute force.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","1000+ problems","Pattern recognition","No","","",""
"F-116","Explain Floyd's cycle-detection algorithm.","CS Core Fundamentals","Fundamentals","Medium","Medium","DSA coursework","LinkedList staple","No","","",""
"F-117","What is amortized analysis? Give an example.","CS Core Fundamentals","Fundamentals","Hard","Low","DSA depth","Analysis depth","No","","",""
"F-118","ACID — explain each with a concrete failure it prevents.","CS Core Fundamentals;Most Probable","Fundamentals","Easy","High","DBMS coursework","Baseline DB","No","","",""
"F-119","Explain isolation levels and the anomalies each prevents.","CS Core Fundamentals","Fundamentals","Hard","High","DBMS coursework","DB-internals depth","No","","",""
"F-120","Clustered vs non-clustered index — trade-offs.","CS Core Fundamentals","Fundamentals","Easy","High","DBMS coursework","Indexing basics","No","","",""
"F-121","How does a B+ tree index accelerate range queries?","CS Core Fundamentals","Fundamentals","Medium","Medium","DBMS coursework","DB internals","No","","",""
"F-122","Normalization up to BCNF — briefly.","CS Core Fundamentals","Fundamentals","Medium","Medium","DBMS coursework","DB theory","No","","",""
"F-123","SQL vs NoSQL — pick one for a payments ledger and defend.","CS Core Fundamentals","Fundamentals;Technical","Medium","High","MySQL/PostgreSQL/MongoDB","Applied DB judgment","No","","",""
"F-124","Explain sharding and one real-world sharding key choice for Instagram.","CS Core Fundamentals","Fundamentals;Technical","Hard","Medium","Systems fundamentals","Distributed-systems thinking","No","","",""
"F-125","CAP theorem — where does PostgreSQL sit, where does DynamoDB sit, and why?","CS Core Fundamentals","Fundamentals","Hard","Medium","Systems fundamentals","Systems depth","No","","",""
"F-126","Optimistic vs pessimistic locking — when each?","CS Core Fundamentals","Fundamentals","Medium","Medium","DBMS coursework","Concurrency control","No","","",""
"F-127","What is a materialized view and when is it worth the cost?","CS Core Fundamentals","Fundamentals","Medium","Low","DBMS coursework","Applied DB","No","","",""
"F-128","Process vs thread — memory, cost, use cases.","CS Core Fundamentals;Most Probable","Fundamentals","Easy","High","OS coursework","OS baseline","No","","",""
"F-129","Mutex vs semaphore — differences and use cases.","CS Core Fundamentals","Fundamentals","Medium","High","OS coursework","Synchronization","No","","",""
"F-130","Deadlock — four conditions and one prevention strategy for each.","CS Core Fundamentals","Fundamentals","Medium","High","OS coursework","OS depth","No","","",""
"F-131","Explain virtual memory and paging.","CS Core Fundamentals","Fundamentals","Medium","Medium","OS coursework","OS internals","No","","",""
"F-132","Explain context switching cost.","CS Core Fundamentals","Fundamentals","Medium","Medium","OS coursework","Performance thinking","No","","",""
"F-133","Producer-consumer problem — solve it with semaphores.","CS Core Fundamentals","Fundamentals","Medium","Medium","OS coursework","Applied synchronization","No","","",""
"F-134","What's a system call, and roughly what happens on one?","CS Core Fundamentals","Fundamentals","Medium","Low","OS coursework","OS depth","No","","",""
"F-135","TCP vs UDP — pick one for video calls and one for banking.","CS Core Fundamentals;Most Probable","Fundamentals","Easy","High","CN coursework","Applied networking","No","","",""
"F-136","Walk me through the TCP three-way handshake and connection teardown.","CS Core Fundamentals","Fundamentals","Medium","High","CN coursework","Protocol depth","No","","",""
"F-137","Explain the TLS 1.3 handshake and what it improves over 1.2.","CS Core Fundamentals","Fundamentals","Hard","Medium","CN coursework","Security depth","No","","",""
"F-138","What happens step-by-step when I type google.com and hit Enter?","CS Core Fundamentals;Most Probable","Fundamentals","Hard","High","CN coursework","Sweeping classic","No","","",""
"F-139","Explain CORS and one common misconfiguration.","CS Core Fundamentals","Fundamentals;Technical","Medium","High","Full-stack projects","Baseline web","No","","",""
"F-140","WebSockets vs HTTP long polling — when each?","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Real-time thinking","Real-time depth","No","","",""
"F-141","How does DNS resolution work, including caching layers?","CS Core Fundamentals","Fundamentals","Medium","Medium","CN coursework","Networking depth","No","","",""
"F-142","Four pillars of OOP with examples from your own code.","CS Core Fundamentals","Fundamentals","Easy","High","OOPs coursework","OOP baseline","No","","",""
"F-143","SOLID — pick one and show a violation-and-fix from your projects.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Applied OOP","No","","",""
"F-144","Composition vs inheritance — why 'prefer composition' is a common guideline.","CS Core Fundamentals","Fundamentals","Medium","Medium","OOP coursework","Design taste","No","","",""
"F-145","Singleton, Factory, Observer — pick two you've used in real projects.","CS Core Fundamentals","Fundamentals;Technical","Medium","Medium","Design Patterns coursework","Applied patterns","No","","",""
"F-146","What's the diamond problem, and how do modern languages sidestep it?","CS Core Fundamentals","Fundamentals","Medium","Low","OOP coursework","Language-design depth","No","","",""
"F-147","Explain the Strategy pattern with a use case in PrepEdge AI's evaluation module.","CS Core Fundamentals;Project","Fundamentals;Technical","Medium","Medium","Design Patterns + PrepEdge AI","Applied pattern usage","No","","",""
"F-148","Design a URL shortener like bit.ly.","Most Probable","Technical;Fundamentals","Hard","High","System design staple","LLD/HLD basics","No","","",""
"F-149","Design Instagram's feed.","Most Probable","Technical;Fundamentals","Hard","High","System design staple","Fan-out on write vs read","No","","",""
"F-150","Design a chat application (1-on-1 and group).","Most Probable","Technical;Fundamentals","Hard","High","System design","Messaging systems","No","","",""
"F-151","Design a distributed rate limiter for our public API.","Most Probable","Technical;Fundamentals","Hard","High","System design","Distributed algorithms","No","","",""
"F-152","Design a leaderboard like LeetCode's contest ranking.","Other","Technical;Fundamentals","Hard","Medium","LeetCode Knight anchor","Ranking systems","No","","",""
"F-153","Design PrepEdge AI at 10M MAU — what changes?","Project;Most Probable","Technical;Fundamentals","Hard","High","PrepEdge AI","Scale-your-own-project","No","","",""
"F-154","Design a ride-matching backend (Uber-style).","Most Probable","Technical;Fundamentals","Hard","High","Uber-target company","Location + matching","No","","",""
"F-155","Design a payment authorization system (Stripe-style).","Most Probable","Technical;Fundamentals","Hard","High","Stripe-target company","Idempotency + reliability","No","","",""
"F-156","Design a notification system supporting email, SMS, push.","Other","Technical;Fundamentals","Hard","Medium","System design staple","Fan-out + reliability","No","","",""
"F-157","Design a distributed cache like Redis Cluster (high level).","Other","Technical;Fundamentals","Hard","Medium","System design staple","Distributed systems","No","","",""
"F-158","Design a scheduling service for appointments at 1M bookings/day.","Internship;Other","Technical;Fundamentals","Hard","Medium","Appointment scheduling","Scale-your-own-project","No","","",""
"F-159","Design an OCR + invoice-processing pipeline at 100K invoices/day.","Project;Other","Technical;Fundamentals","Hard","Medium","Lumen","Scale-your-own-project","No","","",""
"F-160","Design a 'who's online' presence system.","Other","Technical;Fundamentals","Hard","Medium","System design staple","Real-time systems","No","","",""
"F-161","Design a file upload service handling 10GB videos.","Other","Technical;Fundamentals","Hard","Medium","System design staple","Storage + resumable uploads","No","","",""
"F-162","Design an interview-recording + playback system with search.","Project;Other","Technical;Fundamentals","Hard","Low","PrepEdge AI evolution","Storage + search","No","","",""
"F-163","Tell me about a time you took ownership of something outside your scope.","Most Probable","Behavioral","Medium","High","Ownership","LP: Ownership","No","","",""
"F-164","Tell me about a time you disagreed with a manager or senior engineer.","Most Probable","Behavioral","Medium","High","Team dynamics","LP: Have Backbone","No","","",""
"F-165","Tell me about a time you failed, and what you learned.","Most Probable","Behavioral","Medium","High","Growth signal","LP: Learn and Be Curious","No","","",""
"F-166","Tell me about a time you had to learn a new technology under a tight deadline.","Other","Behavioral","Medium","High","Learning agility","LP: Learn and Be Curious","No","","",""
"F-167","Tell me about the most complex technical problem you've solved end-to-end.","Most Probable","Behavioral;Technical","Medium","High","Depth signal","LP: Dive Deep","No","","",""
"F-168","Tell me about a time you delivered results despite significant obstacles.","Other","Behavioral","Medium","High","Delivery signal","LP: Deliver Results","No","","",""
"F-169","Tell me about a time you had to make a decision with incomplete data.","Other","Behavioral","Medium","Medium","Judgment","LP: Bias for Action","No","","",""
"F-170","Tell me about a time you dove deep into a problem others had given up on.","Other","Behavioral","Medium","Medium","Depth","LP: Dive Deep","No","","",""
"F-171","Tell me about a time you had to earn trust with a new team.","Other","Behavioral","Medium","Medium","Team onboarding","LP: Earn Trust","No","","",""
"F-172","Tell me about a time you raised the bar for your team.","Other","Behavioral","Medium","Medium","Standards","LP: Insist on Highest Standards","No","","",""
"F-173","Tell me about a time you were frugal — did more with less.","Other","Behavioral","Medium","Medium","Resourcefulness","LP: Frugality","No","","",""
"F-174","Tell me about a time you had to say 'no' to a stakeholder.","Other","Behavioral","Medium","Medium","Backbone","LP: Have Backbone","No","","",""
"F-175","Tell me about a time you invented and simplified something.","Other","Behavioral;Technical","Medium","Medium","Innovation","LP: Invent and Simplify","No","","",""
"F-176","Tell me about a time you had to change your mind based on new data.","Other","Behavioral","Medium","Medium","Learning","LP: Are Right, A Lot","No","","",""
"F-177","Tell me about a time you missed a deadline — what happened and what did you change?","Other","Behavioral","Medium","High","Accountability","LP: Deliver Results","No","","",""
"F-178","Tell me about a time your prediction was wrong.","Other","Behavioral","Medium","Medium","Humility","LP: Learn and Be Curious","No","","",""
"F-179","Tell me about a time you mentored someone.","Other","Behavioral","Medium","Medium","GSSoC leadership","LP: Hire and Develop","No","","",""
"F-180","Tell me about feedback that changed how you work.","Other","Behavioral;Personal","Medium","Medium","Learning","LP: Learn and Be Curious","No","","",""
"F-181","'Backend-focused' but your open-source project is Node/Express, not Python/FastAPI — reconcile.","Weakness / Shortcomings;Inconsistency observed","Behavioral;Technical","Medium","High","Backend-focused claim","Positioning challenge","No","","",""
"F-182","No Kubernetes on a backend resume — is orchestration a real gap?","Weakness / Shortcomings","Technical","Easy","Medium","Skills gap","Ops gap","No","","",""
"F-183","No AWS/GCP/Azure — how do you plan to close this before Day 1 with us?","Weakness / Shortcomings","Technical;HR","Easy","High","Cloud gap","Common gap","No","","",""
"F-184","CPI 8.14/10 at NIT Raipur — what's the story?","Weakness / Shortcomings;Education","HR;Personal","Medium","Medium","CPI 8.14","Academic probe","No","","",""
"F-185","Only one internship as a 4th-year — was that deliberate?","Weakness / Shortcomings","HR;Behavioral","Medium","Medium","Internship count","Career-decision probe","No","","",""
"F-186","No Kafka/RabbitMQ/Redis Streams for a backend engineer — real gap?","Weakness / Shortcomings","Technical","Medium","Medium","Backend gap","Domain gap","No","","",""
"F-187","You claim 'architected' as an intern within 2 months — is that language overstated?","Weakness / Shortcomings;Inconsistency observed","Behavioral;Technical","Medium","High","Architected RBAC","Verb-honesty probe","No","","",""
"F-188","What's your single biggest technical weakness right now?","Weakness / Shortcomings;Most Probable","Behavioral;Personal","Easy","High","Self-awareness","Growth-mindset","No","","",""
"F-189","What repeated feedback have you struggled to act on?","Weakness / Shortcomings","Behavioral;Personal","Medium","Medium","Self-awareness","Deeper probe","No","","",""
"F-190","When were you the least competent person in a room, and what did you do?","Weakness / Shortcomings","Behavioral;Personal","Medium","Medium","Humility signal","Learning-under-pressure","No","","",""
"F-191","You have no explicit testing framework on your resume — do you write tests?","Weakness / Shortcomings","Technical","Easy","Medium","Testing missing","Engineering hygiene","No","","",""
"F-192","You list C++ but no C++ project — is your C++ real or academic?","Weakness / Shortcomings;Inconsistency observed","Technical","Easy","Medium","C++ in Languages","Skill depth","No","","",""
"F-193","You started at NPT Solution in May 2026 — 2 months ago — yet claim to have architected an entire RBAC system. Which parts were your original design vs implementation to spec?","Inconsistency observed;Internship","Behavioral;Technical","Hard","High","May 2026 - Present","Scope-claim probe","No","","",""
"F-194","You list PostgreSQL as a skill but its only usage is your current internship. Is that proficiency real?","Inconsistency observed;Weakness / Shortcomings","Technical","Medium","Medium","PostgreSQL in skills","Skill-depth probe","No","","",""
